1;2016-01-01T08:00:00.521-0200
2;2016-01-01T09:00:00.521-0200
3;2016-01-01T10:00:00.521-0200
4;2016-01-01T11:00:00.521-0200
5;2016-01-01T12:00:00.521-0200
6;2016-01-01T13:00:00.521-0200
7;2016-01-01T14:00:00.521-0200
8;2016-01-01T15:00:00.521-0200
9;2016-01-01T16:00:00.521-0200
10;2016-01-01T17:00:00.521-0200
11;2016-01-04T08:00:00.521-0200
12;2016-01-04T09:00:00.521-0200
13;2016-01-04T10:00:00.521-0200
14;2016-01-04T11:00:00.521-0200
15;2016-01-04T12:00:00.521-0200
16;2016-01-04T13:00:00.521-0200
17;2016-01-04T14:00:00.521-0200
18;2016-01-04T15:00:00.521-0200
19;2016-01-04T16:00:00.521-0200
20;2016-01-04T17:00:00.521-0200
21;2016-01-05T08:00:00.521-0200
22;2016-01-05T09:00:00.521-0200
23;2016-01-05T10:00:00.521-0200
24;2016-01-05T11:00:00.521-0200
25;2016-01-05T12:00:00.521-0200
26;2016-01-05T13:00:00.521-0200
27;2016-01-05T14:00:00.521-0200
28;2016-01-05T15:00:00.521-0200
29;2016-01-05T16:00:00.521-0200
30;2016-01-05T17:00:00.521-0200
31;2016-01-06T08:00:00.521-0200
32;2016-01-06T09:00:00.521-0200
33;2016-01-06T10:00:00.521-0200
34;2016-01-06T11:00:00.521-0200
35;2016-01-06T12:00:00.521-0200
36;2016-01-06T13:00:00.521-0200
37;2016-01-06T14:00:00.521-0200
38;2016-01-06T15:00:00.521-0200
39;2016-01-06T16:00:00.521-0200
40;2016-01-06T17:00:00.521-0200
41;2016-01-07T08:00:00.521-0200
42;2016-01-07T09:00:00.521-0200
43;2016-01-07T10:00:00.521-0200
44;2016-01-07T11:00:00.521-0200
45;2016-01-07T12:00:00.521-0200
46;2016-01-07T13:00:00.521-0200
47;2016-01-07T14:00:00.521-0200
48;2016-01-07T15:00:00.521-0200
49;2016-01-07T16:00:00.521-0200
50;2016-01-07T17:00:00.521-0200
